Guerreros - Chants of Sennaar
Okami  // Okami 
Bayonetta  // Bayonetta 
Ezio // Ezio 
Cthygonnar  // Acheronian
Papers please  // Papers please
Científica Sheika  // Guardián rasho laser 
Chef  // Chef 
Anna  // Walter (Valiant Hearts)
Zelda // Reina Gerudo 
Nier  // Nier 
Jinx  // Nocturne
Max // Chloe 
Neeko  // Trundle
Ni no Kuni // Ni no Kuni
Jin Sakai  // Jin Sakai 
Coneja  // Chickory 
Twiligth Princess // Twiligth Princess
Kitsune  // Samurai Kasa 
Aldecal  // Manu Barajas
Charles Reed // Charles Reed 
Animal crossing  // Animal Crossing 
Walter // Emile (Valiant Hearts)
Dusty // Dusty 
Boss del cuphead  // Boss del cuphead 
Valkiria  // Tyr 
Reina  // Reina (Lost in Random)
Astrid  // Astrid (GoW)
Jill // Jill (RE3)
Age of Mitology  // Age of Mitology 
Portal  // Portal 
